지점,일시,최저기온(°C),최고기온(°C),최저등급,일교차(°C),일교차등급
105,2019-03-17,4.1,11.5,,7.4,
105,2019-03-18,7,18.5,,11.5,
105,2019-03-19,11.8,22.4,,10.6,
105,2019-03-20,10.5,21.5,,11,
105,2019-03-21,6.6,15.9,,9.3,
105,2019-03-22,1.9,9.4,,7.5,
105,2019-03-23,1.5,10.3,,8.8,
105,2019-03-24,1.9,11.8,,9.9,
105,2019-03-25,5.7,16.7,,11,
105,2019-03-26,9.2,17.8,,8.6,
105,2019-03-27,7.3,21,,13.7,
105,2019-03-28,4.4,7.3,,2.9,
105,2019-03-29,3.9,11.2,,7.3,
105,2019-03-30,4.4,12.7,,8.3,
105,2019-03-31,3.1,9.8,,6.7,
108,2019-03-17,2.6,12.4,,9.8,
108,2019-03-18,1.4,14.4,,13,
108,2019-03-19,3.4,16.7,,13.3,
108,2019-03-20,7.1,14.6,,7.5,
108,2019-03-21,1.9,11.1,,9.2,
108,2019-03-22,-0.7,8.3,,9,
108,2019-03-23,-0.4,8.2,,8.6,
108,2019-03-24,-0.8,9.7,,10.5,
108,2019-03-25,2.9,11.5,,8.6,
108,2019-03-26,7.4,17.6,,10.2,
108,2019-03-27,8.9,16.2,,7.3,
108,2019-03-28,5.6,14.6,,9,
108,2019-03-29,5.5,15.1,,9.6,
108,2019-03-30,3.5,8.4,,4.9,
108,2019-03-31,2.6,8.4,,5.8,
112,2019-03-17,3.3,11,,7.7,
112,2019-03-18,2.3,10.4,,8.1,
112,2019-03-19,4.4,12.5,,8.1,
112,2019-03-20,6.5,13.5,,7,
112,2019-03-21,2.3,10.4,,8.1,
112,2019-03-22,0,7.3,,7.3,
112,2019-03-23,1.3,7.4,,6.1,
112,2019-03-24,1.7,7.9,,6.2,
112,2019-03-25,3.4,11.3,,7.9,
112,2019-03-26,7,13.9,,6.9,
112,2019-03-27,6,13.5,,7.5,
112,2019-03-28,4.6,12.4,,7.8,
112,2019-03-29,5.6,11.4,,5.8,
112,2019-03-30,3.5,7.8,,4.3,
112,2019-03-31,3,7.9,,4.9,
119,2019-03-17,-0.7,12.8,,13.5,
119,2019-03-18,-1.6,14.5,,16.1,
119,2019-03-19,0.5,18.2,,17.7,
119,2019-03-20,4.6,16.1,,11.5,
119,2019-03-21,2.2,12,,9.8,
119,2019-03-22,-0.3,10,,10.3,
119,2019-03-23,-2,9.3,,11.3,
119,2019-03-24,-2.5,10.6,,13.1,
119,2019-03-25,0.5,14,,13.5,
119,2019-03-26,3.8,17.8,,14,
119,2019-03-27,5.3,17.5,,12.2,
119,2019-03-28,5.2,15.4,,10.2,
119,2019-03-29,5.8,15.2,,9.4,
119,2019-03-30,3,10,,7,
119,2019-03-31,2.6,9,,6.4,
127,2019-03-17,-0.1,11.7,,11.8,
127,2019-03-18,-3.7,14.4,,18.1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
