일시,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주,서울1,부산1,대구1,인천1,광주1,대전1,울산1,경기1,강원1,충북1,충남1,전북1,전남1,세종1,경북1,경남1,제주1
04-17,25,34,34,29,37,29,34,30,42,28,35,39,39,29,38,37,55,,,,,,,,,,,,,,,,,
04-16,28,30,33,35,31,21,34,32,46,29,35,35,39,27,40,39,50,,,,,,,,,,,,,,,,,
04-15,28,38,41,37,34,34,38,32,41,35,37,39,42,40,45,47,56,,,,,,,,,,,,,,,,,
04-14,41,47,45,46,41,42,43,42,47,42,43,48,45,42,50,50,57,,,,,,,,,,,,,,,,,
04-13,37,40,42,41,38,33,40,40,50,42,42,44,42,39,46,46,57,,,,,,,,,,,,,,,,,
04-12,30,36,36,36,34,31,36,35,38,37,38,39,39,34,39,42,54,,,,,,,,,,,,,,,,,
04-11,22,31,23,28,27,23,31,25,30,27,28,29,30,26,29,29,39,,,,,,,,,,,,,,,,,
04-10,29,39,33,32,34,31,42,31,38,36,35,39,38,35,38,42,50,,,,,,,,,,,,,,,,,
04-09,26,42,40,26,36,32,39,30,37,39,35,40,42,39,40,45,59,,,,,,,,,,,,,,,,,
04-08,32,35,38,37,38,26,37,33,38,36,34,36,42,35,43,44,57,,,,,,,,,,,,,,,,,
04-07,30,44,38,35,45,26,37,34,40,38,35,51,46,38,48,49,67,,,,,,,,,,,,,,,,,
04-06,15,40,41,17,42,24,41,18,35,29,28,42,46,29,43,43,73,,,,,,,,,,,,,,,,,
04-05,38,49,45,44,41,40,55,42,53,46,47,46,49,49,52,54,68,,,,,,,,,,,,,,,,,
04-04,34,50,47,39,37,34,53,35,52,43,41,43,46,43,57,51,56,,,,,,,,,,,,,,,,,
04-03,31,42,43,37,39,27,43,33,44,37,36,41,43,38,45,47,52,,,,,,,,,,,,,,,,,
04-02,30,41,37,37,38,22,38,31,39,32,34,39,42,33,40,44,57,,,,,,,,,,,,,,,,,
04-01,33,40,39,38,38,29,42,33,37,32,34,39,43,37,41,46,56,,,,,,,,,,,,,,,,,
