날짜,시도지역코드,발생건수(건)
20160101,경남,744
20160102,경남,3985
20160103,경남,2263
20160104,경남,193
20160105,경남,4042
20160106,경남,2757
20160107,경남,2640
20160108,경남,2455
20160109,경남,2887
20160110,경남,2286
20160111,경남,172
20160112,경남,3796
20160113,경남,2526
20160114,경남,2734
20160115,경남,2585
20160116,경남,2816
20160117,경남,2313
20160118,경남,183
20160119,경남,3912
20160120,경남,2637
20160121,경남,2595
20160122,경남,2627
20160123,경남,2898
20160124,경남,2303
20160125,경남,152
20160126,경남,3881
20160127,경남,2666
20160128,경남,2675
20160129,경남,2570
20160130,경남,2840
20160131,경남,2301
20160201,경남,553
20160202,경남,4103
20160203,경남,2808
20160204,경남,2831
20160205,경남,2715
20160206,경남,3111
20160207,경남,2614
20160208,경남,195
20160209,경남,4326
20160210,경남,3001
20160211,경남,3253
20160212,경남,3122
20160213,경남,3482
20160214,경남,2997
20160215,경남,176
20160216,경남,5128
20160217,경남,4806
20160218,경남,718
20160219,경남,123
20160220,경남,324
20160221,경남,2734
20160222,경남,181
20160223,경남,4958
20160224,경남,3079
20160225,경남,2938
20160226,경남,2971
20160227,경남,3242
20160228,경남,2360
20160301,경남,494
20160302,경남,3958
20160303,경남,2502
20160304,경남,2789
20160305,경남,2347
20160306,경남,3031
20160307,경남,2319
20160308,경남,218
20160309,경남,4070
20160310,경남,2665
20160311,경남,2921
20160312,경남,2808
20160313,경남,2994
20160314,경남,2660
20160315,경남,186
20160316,경남,4323
20160317,경남,2903
20160318,경남,2597
20160319,경남,3068
20160320,경남,2993
20160321,경남,2707
20160322,경남,212
20160323,경남,4552
20160324,경남,3182
20160325,경남,3233
20160326,경남,3142
20160327,경남,3468
20160328,경남,2975
20160329,경남,261
20160330,경남,4674
20160331,경남,2939
20160401,경남,3592
20160402,경남,3104
20160403,경남,3131
20160404,경남,2761
20160405,경남,217
20160406,경남,4109
20160407,경남,3113
20160408,경남,3013
20160409,경남,2894
20160410,경남,3087
20160411,경남,2739
20160412,경남,261
20160413,경남,4527
20160414,경남,3203
20160415,경남,3031
20160416,경남,2981
20160417,경남,3307
20160418,경남,2815
20160419,경남,267
20160420,경남,4256
20160421,경남,3096
20160422,경남,3071
20160423,경남,3086
20160424,경남,3361
20160425,경남,2929
20160426,경남,256
20160427,경남,4923
20160428,경남,3335
20160429,경남,3024
20160430,경남,3338
20160501,경남,3143
20160502,경남,2703
20160503,경남,280
20160504,경남,4990
20160505,경남,611
20160506,경남,4383
20160507,경남,3150
20160508,경남,3328
20160509,경남,2936
20160510,경남,248
20160511,경남,4487
20160512,경남,3136
20160513,경남,3068
20160514,경남,2896
20160515,경남,3134
20160516,경남,2545
20160517,경남,264
20160518,경남,4007
20160519,경남,2961
20160520,경남,2795
20160521,경남,2871
20160522,경남,3205
20160523,경남,2708
20160524,경남,260
20160525,경남,785
20160526,경남,4387
20160527,경남,2792
20160528,경남,2657
20160529,경남,2970
20160530,경남,2501
20160531,경남,214
20160601,경남,4242
20160602,경남,2741
20160603,경남,2691
20160604,경남,2708
20160605,경남,3131
20160606,경남,924
20160607,경남,232
20160608,경남,3867
20160609,경남,2403
20160610,경남,2195
20160611,경남,2329
20160612,경남,2273
20160613,경남,1936
20160614,경남,164
20160615,경남,3141
20160616,경남,2077
20160617,경남,2120
20160618,경남,2026
20160619,경남,2215
20160620,경남,1734
20160621,경남,156
20160622,경남,2733
20160623,경남,1820
20160624,경남,1803
20160625,경남,1833
20160626,경남,1975
20160627,경남,1586
20160628,경남,185
20160629,경남,2606
20160630,경남,1618
20160701,경남,2087
20160702,경남,1727
20160703,경남,1907
20160704,경남,1527
20160705,경남,165
20160706,경남,2609
20160707,경남,1640
20160708,경남,1719
20160709,경남,1744
20160710,경남,1841
20160711,경남,1578
20160712,경남,134
20160713,경남,2307
20160714,경남,1686
20160715,경남,1700
20160716,경남,1735
20160717,경남,1905
20160718,경남,1545
20160719,경남,133
20160720,경남,2532
20160721,경남,1698
20160722,경남,1673
20160723,경남,1553
20160724,경남,1788
20160725,경남,1400
20160726,경남,177
20160727,경남,2330
20160728,경남,1621
20160729,경남,1735
20160730,경남,1634
20160731,경남,1680
20160801,경남,1500
20160802,경남,180
20160803,경남,2300
20160804,경남,1570
20160805,경남,1652
20160806,경남,1564
20160807,경남,1745
20160808,경남,1264
20160809,경남,179
20160810,경남,2466
20160811,경남,1770
20160812,경남,1758
20160813,경남,1848
20160814,경남,1542
20160815,경남,522
20160816,경남,236
20160817,경남,2990
20160818,경남,2006
20160819,경남,1917
20160820,경남,1914
20160821,경남,2025
20160822,경남,1691
20160823,경남,206
20160824,경남,2951
20160825,경남,1796
20160826,경남,2361
20160827,경남,2178
20160828,경남,2285
20160829,경남,1917
20160830,경남,233
20160831,경남,3408
20160901,경남,2580
20160902,경남,2305
20160903,경남,2298
20160904,경남,2637
20160905,경남,2228
20160906,경남,286
20160907,경남,3647
20160908,경남,2561
20160909,경남,2574
20160910,경남,2528
20160911,경남,2810
20160912,경남,2436
20160913,경남,291
20160914,경남,3945
20160915,경남,2752
20160916,경남,2690
20160917,경남,2715
20160918,경남,3019
20160919,경남,2591
20160920,경남,283
20160921,경남,4222
20160922,경남,3044
20160923,경남,2909
20160924,경남,3406
20160925,경남,4391
20160926,경남,819
20160927,경남,111
20160928,경남,398
20160929,경남,2037
20160930,경남,4330
20161001,경남,2814
20161002,경남,3622
20161003,경남,1043
20161004,경남,292
20161005,경남,4475
20161006,경남,2803
20161007,경남,2806
20161008,경남,3295
20161009,경남,836
20161010,경남,2911
20161011,경남,314
20161012,경남,4554
20161013,경남,2979
20161014,경남,2683
20161015,경남,2842
20161016,경남,3161
20161017,경남,2510
20161018,경남,307
20161019,경남,4198
20161020,경남,2736
20161021,경남,2811
20161022,경남,2787
20161023,경남,3059
20161024,경남,2492
20161025,경남,259
20161026,경남,4212
20161027,경남,2905
20161028,경남,2893
20161029,경남,2854
20161030,경남,3205
20161031,경남,2485
20161101,경남,649
20161102,경남,4202
20161103,경남,2899
20161104,경남,2793
20161105,경남,2889
20161106,경남,3122
20161107,경남,2703
20161108,경남,270
20161109,경남,4293
20161110,경남,2651
20161111,경남,2832
20161112,경남,2710
20161113,경남,2674
20161114,경남,2651
20161115,경남,222
20161116,경남,3931
20161117,경남,2997
20161118,경남,2761
20161119,경남,2748
20161120,경남,3012
20161121,경남,2503
20161122,경남,269
20161123,경남,4124
20161124,경남,2961
20161125,경남,2912
20161126,경남,2884
20161127,경남,3256
20161128,경남,2653
20161129,경남,290
20161130,경남,4515
20161201,경남,3469
20161202,경남,3114
20161203,경남,3128
20161204,경남,3566
20161205,경남,2844
20161206,경남,326
20161207,경남,4966
20161208,경남,3121
20161209,경남,3413
20161210,경남,3058
20161211,경남,3646
20161212,경남,2892
20161213,경남,310
20161214,경남,4833
20161215,경남,3510
20161216,경남,3232
20161217,경남,3445
20161218,경남,3708
20161219,경남,3177
20161220,경남,296
20161221,경남,4939
20161222,경남,3247
20161223,경남,3494
20161224,경남,4056
20161225,경남,664
20161226,경남,3365
20161227,경남,373
20161228,경남,5109
20161229,경남,3644
20161230,경남,3585
20161231,경남,4107
